Endpoint,POST /auth,GET /booking,GET /booking/{id},POST /booking,PUT /booking/{id},PATCH /booking/{id},DELETE /booking/{id}
ID Test Case,,,,,,,
SWAT-33928,✅,,,,,,
SWAT-33929,✅,,,,,,
SWAT-33930,✅,,,,,,
SWAT-33931,✅,,,,,,
SWAT-33932,✅,,,,,,
SWAT-33933,✅,,,,,,
SWAT-33934,✅,,,,,,
SWAT-33936,,,,,✅,,
SWAT-33937,,,,,,✅,
SWAT-33938,,,,,,,✅
SWAT-33939,,,,,✅,,
SWAT-33940,,,,,,✅,
SWAT-33941 ,,,,,,,✅
SWAT-33942 ,,,,,✅,,
SWAT-33943,,,,,,✅,
SWAT-33944,,,,,,,✅
SWAT-33945,,,,,✅,,
SWAT-33946,,,,,,✅,
SWAT-33947,,,,,,,✅
SWAT-33950,,✅,,,,,
SWAT-33951,,✅,,,,,
SWAT-33952,,✅,,,,,
SWAT-33953,,✅,,,,,
SWAT-33960,,,✅,,,,
SWAT-33961,,,✅,,,,
SWAT-33962,,,✅,,,,
SWAT-33963,,,✅,,,,
SWAT-33964,,,✅,,,,
SWAT-33970,,,,✅,,,
SWAT-33971,,,,✅,,,
SWAT-33972,,,,✅,,,
SWAT-33973,,,,✅,,,
SWAT-33974,,,,✅,,,
SWAT-33975,,,,✅,,,
SWAT-33976,,,,✅,,,
SWAT-33977,,,,✅,,,
SWAT-33978,,,,✅,,,
SWAT-33979,,,,✅,,,
SWAT-33980,,,,✅,,,
SWAT-33981,,,,✅,,,
SWAT-33982,,,,✅,,,
SWAT-33983,,,,✅,,,
SWAT-33990,,,,,✅,,
SWAT-33991,,,,,✅,,
SWAT-33992,,,,,✅,,
SWAT-33993,,,,,✅,,
SWAT-33994,,,,,✅,,
SWAT-33995,,,,,✅,,
SWAT-33996,,,,,✅,,
SWAT-33997,,,,,✅,,
SWAT-33998,,,,,✅,,
SWAT-33999,,,,,✅,,
SWAT-34000,,,,,✅,,
SWAT-34001,,,,,✅,,
SWAT-34010,,,,,,✅,
SWAT-34011,,,,,,✅,
SWAT-34012,,,,,,✅,
SWAT-34013,,,,,,✅,
SWAT-34014,,,,,,✅,
SWAT-34015,,,,,,✅,
SWAT-34016,,,,,,✅,
SWAT-34017,,,,,,✅,
SWAT-34018,,,,,,✅,
SWAT-34019,,,,,,✅,
SWAT-34020,,,,,,✅,
SWAT-34021,,,,,,✅,
SWAT-34022,,,,,,✅,
SWAT-34023,,,,,,✅,
SWAT-34024,,,,,,✅,
SWAT-34025,,,,,,✅,
SWAT-34026,,,,,,✅,
SWAT-34027,,,,,,✅,
SWAT-34030 ,,,,,,,✅
SWAT-34031,,,,,,,✅
SWAT-34032,,,,,,,✅
SWAT-34033,,,,,,,✅
