Test Object,TC Priority,Test Case ID,Test CaseTitle,Test Type,TC Status,Smoke/Regres,Autotest
Authentication (POST /auth),P1,SWAT-33928,Authentication with valid credentials,Positive,Done,Smoke,automated
Authentication (POST /auth),P1,SWAT-33929,POST /auth generates unique token on each request,Positive,Done,Regression,automated
Authentication (POST /auth),P2,SWAT-33930,Authentication fails with incorrect password,Negative,Done,Smoke,automated
Authentication (POST /auth),P2,SWAT-33931,Authentication fails with incorrect username,Negative,Done,Smoke,automated
Authentication (POST /auth),P2,SWAT-33932,Authentication: username field validation,Negative,Done,Regression,automated
Authentication (POST /auth),P2,SWAT-33933,Authentication: password field validation,Negative,Done,Regression,automated
Authentication (POST /auth),P2,SWAT-33934,Authentication without header Content-Type,Negative,Done,Regression,automated
Authorization (Token Usage),P1,SWAT-33936,Authorization: PUT with valid token through Cookie header,Positive,Done,Smoke,automated
Authorization (Token Usage),P1,SWAT-33937,Authorization: PATCH with valid token through Cookie header,Positive,Done,Smoke,automated
Authorization (Token Usage),P1,SWAT-33938,Authorization: DELETE with valid token through Cookie header,Positive,Done,Smoke,automated
Authorization (Token Usage),P1,SWAT-33939,Authorization: PUT with valid token through Authorization header,Positive,Done,Smoke,automated
Authorization (Token Usage),P1,SWAT-33940,Authorization: PATCH with valid token through Authorization header,Positive,Done,Smoke,automated
Authorization (Token Usage),P1,SWAT-33941,Authorization: DELETE with valid token through Authorization header,Positive,Done,Smoke,automated
Authorization (Token Usage),P2,SWAT-33942,Authorization: PUT without token,Negative,Done,Regression,automated
Authorization (Token Usage),P2,SWAT-33943,Authorization: PATCH without token,Negative,Done,Regression,automated
Authorization (Token Usage),P2,SWAT-33944,Authorization: DELETE without token,Negative,Done,Regression,automated
Authorization (Token Usage),P2,SWAT-33945,Authorization: PUT with invalid token,Negative,Done,Regression,automated
Authorization (Token Usage),P2,SWAT-33946,Authorization: PATCH with invalid token,Negative,Done,Regression,automated
Authorization (Token Usage),P2,SWAT-33947,Authorization: DELETE with invalid token,Negative,Done,Regression,automated
Booking Search (GET /booking),P1,SWAT-33950,Get list of booking ids,Positive,In Progress,Smoke,automated
Booking Search (GET /booking),P1,SWAT-33951,"Filter booking by firstname, lastname, checkin, checkout",Positive,Done,Smoke,automated
Booking Search (GET /booking),P1,SWAT-33952,Boundary value analysis of checkin date,Positive,Done,Regression,automated
